Deal Year,Target Company,Sector,Geography,Deal Value,Deal Type,Source,Source URL
2015,Public Investment Fund Restructuring,Governance,Saudi Arabia,N/A,Organizational Restructuring,PIF oversight moved to CEDA; MBS appointed Chairman,https://en.wikipedia.org/wiki/Public_Investment_Fund
2016,Uber Technologies,Transportation/Technology,United States,$3.5 billion,Equity Investment (5% stake),PIF strategic investment in ride-sharing company,https://en.wikipedia.org/wiki/Public_Investment_Fund
2016,SoftBank Vision Fund,Technology/Venture Capital,Global,$45 billion,Fund Commitment,5-year commitment to tech investment fund,https://en.wikipedia.org/wiki/Public_Investment_Fund
2016,Saudi Aramco,Energy,Saudi Arabia,N/A,Asset Transfer Announcement,Announced Aramco ownership transfer to PIF,https://noria-research.com/mena/diversification-meets-personalization-the-strategic-role-of-the-public-investment-fund-in-saudi-arabia/
2017,Blackstone Infrastructure Fund,Infrastructure,Global,$20 billion,Anchor Investment (50%),Anchor investor providing half of $40B fund capital,https://www.atlanticcouncil.org/commentary/the-saudi-public-investment-fund-the-emerging-financial-vehicle-behind-vision-2030/
2017,NEOM Strategy Development,Smart City/Real Estate,Saudi Arabia,N/A,Strategic Planning,Began formulating NEOM strategy (launched 2019),https://www.cnbc.com/2020/05/16/saudi-sovereign-fund-discloses-stakes-in-citi-boeing-facebook.html
2018,Lucid Motors,Electric Vehicles,United States,$1+ billion,Majority Equity Investment,Investment enabling Lucid Air commercial launch,https://www.pif.gov.sa/en/news-and-insights/press-releases/2018/lucid-motors/
2018,Qiddiya Investment Company,Entertainment/Tourism,Saudi Arabia,N/A,Giga-Project Launch (100%),376 sq km entertainment capital established,https://www.cnbc.com/2020/05/16/saudi-sovereign-fund-discloses-stakes-in-citi-boeing-facebook.html
2018,Red Sea Development Company,Tourism/Hospitality,Saudi Arabia,N/A,Giga-Project Launch (100%),Luxury tourism project covering 28000 sq km approved,https://www.cnbc.com/2020/05/16/saudi-sovereign-fund-discloses-stakes-in-citi-boeing-facebook.html
2018,Debt Loan Facility,Financial Services,Global,$11 billion,Debt Facility,First incorporation of loans/debt into strategy,https://www.cnbc.com/2020/05/16/saudi-sovereign-fund-discloses-stakes-in-citi-boeing-facebook.html
2018,Tesla,Automotive/Technology,United States,N/A,Equity Investment (3-5% stake),Built stake through open market purchases,https://en.wikipedia.org/wiki/Lucid_Motors
2019,Saudi Aramco IPO,Energy,Saudi Arabia,N/A,IPO Proceeds,Capital injections from Aramco IPO,https://www.cnbc.com/2020/05/16/saudi-sovereign-fund-discloses-stakes-in-citi-boeing-facebook.html
2019,NEOM,Smart City/Technology,Saudi Arabia,$500 billion,Giga-Project Launch (100%),Official founding of $500B smart city project,https://www.cnbc.com/2020/05/16/saudi-sovereign-fund-discloses-stakes-in-citi-boeing-facebook.html
2020,Boeing,Aerospace,United States,$713.7 million,Equity Investment,COVID-19 market downturn opportunistic purchase,https://www.thenationalnews.com/business/saudi-arabia-s-public-investment-fund-invests-billions-of-dollars-in-boeing-disney-and-facebook-shares-1.1020204
2020,BP,Energy,United Kingdom,$827.8 million,Equity Investment,COVID-19 market downturn opportunistic purchase,https://www.thenationalnews.com/business/saudi-arabia-s-public-investment-fund-invests-billions-of-dollars-in-boeing-disney-and-facebook-shares-1.1020204
2020,Facebook (Meta),Technology/Social Media,United States,$522 million,Equity Investment,COVID-19 market downturn opportunistic purchase,https://www.thenationalnews.com/business/saudi-arabia-s-public-investment-fund-invests-billions-of-dollars-in-boeing-disney-and-facebook-shares-1.1020204
2020,Disney,Entertainment/Media,United States,$495.8 million,Equity Investment,COVID-19 market downturn opportunistic purchase,https://www.thenationalnews.com/business/saudi-arabia-s-public-investment-fund-invests-billions-of-dollars-in-boeing-disney-and-facebook-shares-1.1020204
2020,Citigroup,Financial Services,United States,$522 million,Equity Investment,COVID-19 market downturn opportunistic purchase,https://www.thenationalnews.com/business/saudi-arabia-s-public-investment-fund-invests-billions-of-dollars-in-boeing-disney-and-facebook-shares-1.1020204
2020,Bank of America,Financial Services,United States,$487.6 million,Equity Investment,COVID-19 market downturn opportunistic purchase,https://www.thenationalnews.com/business/saudi-arabia-s-public-investment-fund-invests-billions-of-dollars-in-boeing-disney-and-facebook-shares-1.1020204
2020,Carnival Corporation,Cruise/Tourism,United States,N/A,Equity Investment (8.2% stake),Investment in cruise line operator,https://www.cnbc.com/2020/05/16/saudi-sovereign-fund-discloses-stakes-in-citi-boeing-facebook.html
2020,Jio Platforms,Technology/Telecom,India,$1.5 billion,Equity Investment (2.32% stake),Strategic investment in Indian tech platform,https://www.cnbc.com/2020/05/16/saudi-sovereign-fund-discloses-stakes-in-citi-boeing-facebook.html
2020,ROSHN Real Estate Company,Real Estate/Residential,Saudi Arabia,N/A,Giga-Project Launch (100%),Residential development company launched,https://www.cnbc.com/2020/05/16/saudi-sovereign-fund-discloses-stakes-in-citi-boeing-facebook.html
2020,Newcastle United F.C.,Sports/Football,United Kingdom,£300 million,Deal Agreement (80% stake),Deal agreed in principle (completed Oct 2021),https://www.cnbc.com/2020/05/16/saudi-sovereign-fund-discloses-stakes-in-citi-boeing-facebook.html
2021,Electronic Arts,Gaming/Technology,United States,N/A,Equity Investment,Stake in major video game publisher,https://agsi.org/analysis/going-big-assessing-the-growth-ambitions-of-the-saudi-public-investment-fund/
2021,Take-Two Interactive,Gaming/Technology,United States,N/A,Equity Investment,Stake in Grand Theft Auto publisher,https://agsi.org/analysis/going-big-assessing-the-growth-ambitions-of-the-saudi-public-investment-fund/
2021,Activision Blizzard,Gaming/Technology,United States,N/A,Equity Investment,Stake in Call of Duty/World of Warcraft publisher,https://agsi.org/analysis/going-big-assessing-the-growth-ambitions-of-the-saudi-public-investment-fund/
2021,Newcastle United F.C.,Sports/Football,United Kingdom,£300 million,Acquisition (80% stake),Takeover completed with PCP/Reuben Brothers,https://en.wikipedia.org/wiki/2021_takeover_of_Newcastle_United_F.C.
2021,LIV Golf Investments,Sports/Golf,Global,$5+ billion,Establishment (100%),Golf Saudi (PIF division) funded LIV Golf establishment,https://agsi.org/analysis/going-big-assessing-the-growth-ambitions-of-the-saudi-public-investment-fund/
2021,NEOM Contracts,Construction/Infrastructure,Saudi Arabia,$1.43 billion,Contract Awards,Construction and transport project contracts,https://agsi.org/analysis/going-big-assessing-the-growth-ambitions-of-the-saudi-public-investment-fund/
2021,Red Sea & Qiddiya Contracts,Tourism/Entertainment,Saudi Arabia,$4+ billion,Contract Awards,Contracts awarded primarily to Saudi companies,https://agsi.org/analysis/going-big-assessing-the-growth-ambitions-of-the-saudi-public-investment-fund/
2022,Nintendo,Gaming/Technology,Japan,N/A,Equity Investment (5% stake),Strategic stake in gaming giant,https://agsi.org/analysis/going-big-assessing-the-growth-ambitions-of-the-saudi-public-investment-fund/
