Date,Fund,Counterparty,Sector,Geography,Instrument,Source
2023-06-22,QIA,Kokusai Electric (via KKR),Semiconductor Equipment,Japan,Stake (5%),QIA Newsroom / Reuters
2023-05-01,QIA,Builder.ai,AI/ML Platform,UK,"Fund (Series D lead, $250M)",Bloomberg / AGBI
2023-11-01,QIA,Databricks,AI/ML Platform,US,"Fund (Series I, $43B val.)",QIA Newsroom / Reuters
2024-05-13,QIA,Ardian Semiconductor,Semiconductors,Europe (France),Fund (Anchor investor),Bloomberg / QIA Newsroom
2024-12-01,QIA,xAI (Elon Musk),AI Infrastructure,US,"Fund (Series C, $6B round)",Reuters / AGBI
2024-11-19,QIA,Cresta AI,AI/ML Platform,US,"Fund (Series D co-lead, $125M)",Bloomberg / AGBI
2025-01-15,QIA,Databricks,AI/ML Platform,US,Fund ($15B round follow-on),QIA Newsroom / Reuters
2025-01-15,QIA,Instabase,AI/ML Platform,US,"Fund (Series D lead, $100M)",Bloomberg / The National News
2025-05-01,QIA,xAI (Elon Musk),AI Infrastructure,US,"Fund (Series E, $20B round)",Reuters / AGBI
2025-09-25,QIA,Blue Owl Capital,Data Centers,US (Global),JV ($3B+ digital infra platform),Bloomberg / QIA Newsroom
2025-12-08,QIA,Qai (QIA subsidiary) / Brookfield,AI Infrastructure,Qatar (Global),JV ($20B AI infra partnership),QIA Newsroom / Reuters
2025-06-01,QIA,Anthropic,AI Models/Research,US,Fund ($13B round participation),Bloomberg / The National News
2025-05-01,QIA,Alice & Bob (with Bpifrance),AI Infrastructure,France,JV (Quantum computing investment),AGBI / Global SWF
2023-11-01,PIF,Databricks (via Sanabil),AI/ML Platform,US,"Fund (Series I, via Sanabil sub.)",Reuters / Global SWF
2024-02-01,PIF,Alat (PIF company launch),Semiconductors,Saudi Arabia,Fund ($100B mfg. initiative),PIF Official / Arab News
2024-02-20,PIF,SoftBank Group (via Alat),AI Infrastructure,Saudi Arabia,JV ($150M robot mfg. hub),SoftBank / Arab News
2024-03-01,PIF,Amazon Web Services (AWS),AI Cloud Computing,Saudi Arabia,MOU ($5.3B AI Zone),Reuters / Bloomberg
2024-12-01,PIF,Groq (via Aramco Digital),AI Chips,Saudi Arabia (Dammam),JV (AI inference datacenter),Reuters / The National News
2025-02-10,PIF,Groq / Aramco Digital,AI Inference,Saudi Arabia (Dammam),Fund ($1.5B expansion),Bloomberg / MEI
2025-02-10,PIF,Databricks (LEAP 2025),AI/ML Platform,Saudi Arabia,MOU ($300M PaaS commitment),Arab News / LEAP
